"filename", "language", "JavaScript", "JSON", "Markdown", "YAML", "JavaScript React", "SCSS", "HTML", "XML", "CSS", "Less", "comment", "blank", "total"
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_fixed-width.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 1, 7
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_icons.scss", "SCSS", 0, 0, 0, 0, 0, 786, 0, 0, 0, 0, 2, 2, 790
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_larger.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 2, 14
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_list.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 2, 20
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 10, 10, 61
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_path.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 2, 16
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_rotated-flipped.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 5, 21
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_screen-reader.scss", "SCSS", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 6
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_stacked.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 2, 21
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 794, 0, 0, 0, 0, 3, 4, 801
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-awesome/scss/font-awesome.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 2, 19
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 14, 30
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/demo/demo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 2, 153
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/demo/demo.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/demo/index.html", "HTML", 0, 0, 0, 0, 0, 0, 4024, 0, 0, 0, 2, 269, 4295
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/dist/feather.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 818, 0, 2, 4, 824
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/dist/fonts/Feather.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 276
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-feathericons/selection.json", "JSON", 0, 6954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6954
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/demo-files/demo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 2, 153
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/demo-files/demo.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/demo.html", "HTML", 0, 0, 0, 0, 0, 0, 7399, 0, 0, 0, 2, 494, 7895
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/fonts/icomoon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 501, 0, 0, 0, 0, 501
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/selection.json", "JSON", 0, 14886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14886
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-icomoon/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1494, 0, 2, 5, 1501
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/public/resources/fonts/font-linearicons/demo-files/demo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 1, 151
